节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE434669,造成泄密,Violation,否,Violation,11,4,1.9,2,2,1.6,0.3,0.0,4,社区11:4
LE687701,突发事件,Event,否,Event,7,7,1.7,1,6,0.8,0.9,0.0,7,社区7:7
LE717887,第十七条,Section,否,Section,7,3,2.1,1,2,0.2,1.9,0.0,3,社区7:3
LE430475,突发公共事件应对情况,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE267338,会管单位,PartyWithResponsibility,是,PartyWithResponsibility,4,1,0.95,1,0,0.95,0.0,0.0,1,社区4:1
LE679611,各会管单位,PartyWithResponsibility,是,PartyWithResponsibility,4,3,2.85,3,0,2.85,0.0,0.0,3,社区4:3
LE243642,中国证监会新闻工作办法,Title,否,Title,4,5,1.0,0,5,0.0,1.0,0.0,5,社区4:4; 社区7:1
LE380941,第十六条,Section,否,Section,7,2,1.15,1,1,0.2,0.95,0.0,2,社区7:2
LE684061,直接责任人员,PartyWithResponsibility,是,PartyWithResponsibility,11,3,2.55,1,2,0.95,1.6,0.0,3,社区11:3
LE880353,作出行政处罚决定,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE449473,证券期货交易所及登记结算机构,PartyWithResponsibility,是,PartyWithResponsibility,7,2,1.75,1,1,0.95,0.8,0.0,2,社区7:2
LE266843,自律措施,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE435379,所在单位相关负责人,PartyWithResponsibility,是,PartyWithResponsibility,11,3,2.55,1,2,0.95,1.6,0.0,3,社区11:3
LE536139,新闻工作人员,PartyWithResponsibility,是,PartyWithResponsibility,13,1,0.95,1,0,0.95,0.0,0.0,1,社区13:1
LE518740,证监会各会管单位,PartyWithResponsibility,是,PartyWithResponsibility,7,2,1.9,2,0,1.9,0.0,0.0,2,社区7:2
LE214386,重大案件立案调查,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE232851,完善新闻工作制度机制,Action,否,Action,4,1,0.15,1,0,0.15,0.0,0.0,1,社区4:1
LE303653,本辖区上市公司,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE072007,第五章,Chapter,否,Chapter,4,2,0.4,1,1,0.2,0.2,0.0,2,社区4:2
LE642962,进行解释说明,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
